codCurso;codigo;curso;nivel;abreviatura;creditos;codPlanEstudio
869;12-HU-1-04 ;LECTURA CRITICA ;1;;4;1
870;12-BA-1-07 ;APLICACIONES DE LAS TICS ;1;;4;1
871;12-HU-3-03 ;ANALISIS DEL ENTORNO NACIONAL E INTERNACIONAL ;1;;4;1
872;12-HU-2-02 ;METODOLOGIA DE LA INVESTIGACION ;1;;4;1
873;CG-1-FT-05 ;MATEMATICA BASICA ;1;;4;1
874;12-HU-6-06 ;ETICA Y RESPONSABILIDAD SOCIAL ;2;;4;1
875;CG-2-EM-08 ;EMPRENDIMIENTO E INNOVACION ;2;;4;1
876;12-HU-5-05 ;REDACCION CIENTIFICA ;2;;4;1
877;CG-3-FT-09 ;ESTADISTICA DESCRIPTIVA ;2;;4;1
878;12-AD-1-101 ;CONTABILIDAD GENERAL ;2;;4;1
879;CG-3-CC-11 ;ECONOMIA Y SOCIEDAD ;3;;4;1
880;CG-3-EM-12 ;DESARROLLO DEL PENSAMIENTO Y CREATIVIDAD ;3;;4;1
881;CG-3-FT-13 ;ESTADISTICA INFERENCIAL ;3;;4;1
882;CAI-3-FT-17 ;MATEMATICA SUPERIOR I ;3;;4;1
883;12-BA-2-20 ;FISICA I ;3;;4;1
884;CG-4-LC-14 ;COMUNICACION Y ORGANIZACION DIGITAL ;4;;4;1
885;12-DI-3-144 ;ARTE Y CULTURA ;4;;4;1
886;CG-4-EM-16 ;FORMULACION Y EJECUCION DE PROYECTOS ;4;;4;1
887;CAI-4-FT-19 ;MATEMATICA SUPERIOR II ;4;;4;1
888;12-BA-2-20 ;FISICA II ;4;;4;1
889;CAI--5-FT-21 ;MATEMATICA SUPERIOR III ;5;;4;1
890;CAI-5-FT-22 ;FUNDAMENTOS DE PROGRAMACION ;5;;4;1
892;12-IN-2-27 ;SISTEMAS OPERATIVOS I ;5;;4;1
894;12-EL-2-76 ;ELECTRONICA DIGITAL I ;6;;4;1
895;12-IN-1-30 ;PROGRAMACION I ;6;;4;1
896;12-IN-6-36 ;INGENIERIA DE SOFTWARE I ;6;;4;1
897;12-IN-3-46 ;BASE DE DATOS I ;6;;4;1
898;12-IN-4-28 ;SISTEMAS OPERATIVOS II ;6;;4;1
899;12-IN-4-47 ;BASE DE DATOS II ;7;;4;1
