fechaApertura;codCicloAcademico;codCurso
2015-10-01;9;869
2015-10-01;9;870
2015-10-01;9;871
2015-10-01;9;872
2015-10-01;9;873
2015-10-01;9;874
2015-10-01;9;875
2015-10-01;9;876
2015-10-01;9;877
2015-10-01;9;878
2015-10-01;9;879
2015-10-01;9;880
2015-10-01;9;881
2015-10-01;9;882
2015-10-01;9;883
2015-10-01;9;884
2015-10-01;9;885
2015-10-01;9;886
2015-10-01;9;887
2015-10-01;9;888
2015-10-01;9;889
2015-10-01;9;890
2015-10-01;9;892
2015-10-01;9;894
2015-10-01;9;895
2015-10-01;9;896
2015-10-01;9;897
2015-10-01;9;898
2015-10-01;9;899
2015-10-01;9;900
2015-10-01;9;901
2015-10-01;9;902
2015-10-01;9;904
2015-10-01;9;905
2015-10-01;9;906
2015-10-01;9;909
2015-10-01;9;1483
2015-10-01;9;1484
2015-10-01;9;1485
2015-10-01;9;1569
2015-10-01;9;1617
2015-10-01;9;1619
2015-10-01;9;1688
2015-10-01;9;1689
2015-10-01;9;1690
2015-10-01;9;1691
2015-10-01;9;1692
2015-10-01;9;1693
2015-10-01;9;1694
2015-10-01;9;1731
2015-10-01;9;1732
2015-10-01;9;1735
2015-10-01;9;1738
2015-10-01;9;1739
2015-10-01;9;1762
2015-10-01;9;917
2015-10-01;9;918
2015-10-01;9;919
2015-10-01;9;920
2015-10-01;9;921
2015-10-01;9;922
2015-10-01;9;923
2015-10-01;9;924
2015-10-01;9;925
2015-10-01;9;926
2015-10-01;9;927
2015-10-01;9;928
2015-10-01;9;929
2015-10-01;9;930
2015-10-01;9;931
2015-10-01;9;932
2015-10-01;9;933
2015-10-01;9;934
2015-10-01;9;935
2015-10-01;9;936
2015-10-01;9;937
2015-10-01;9;938
2015-10-01;9;940
2015-10-01;9;942
2015-10-01;9;943
2015-10-01;9;944
2015-10-01;9;945
2015-10-01;9;946
2015-10-01;9;947
2015-10-01;9;948
2015-10-01;9;949
2015-10-01;9;950
2015-10-01;9;952
2015-10-01;9;953
2015-10-01;9;954
2015-10-01;9;957
2015-10-01;9;1493
2015-10-01;9;1494
2015-10-01;9;1495
2015-10-01;9;1573
2015-10-01;9;1645
2015-10-01;9;1646
2015-10-01;9;1647
2015-10-01;9;1695
2015-10-01;9;1696
2015-10-01;9;1697
2015-10-01;9;1698
2015-10-01;9;1699
2015-10-01;9;1700
2015-10-01;9;1730
2015-10-01;9;1736
2015-10-01;9;1737
2015-10-01;9;1742
2015-10-01;9;1743
2015-10-01;9;1764
