codEstudiante;anioIngreso;codPersona;codCarreraProfesional
9005;2016;2064;45
9011;2016;2113;44
9018;2016;2065;45
9020;2016;2066;44
9036;2016;2478;46
9037;2016;2479;46
9038;2016;2480;46
9050;2016;2067;46
9059;2016;2070;44
9064;2016;2046;45
9084;2016;2488;46
9090;2016;2490;44
9096;2016;2072;45
9103;2016;2074;44
9112;2016;2076;44
9119;2016;2077;44
9122;2016;2078;45
9130;2016;2090;44
9135;2016;2138;44
9139;2016;2140;45
9143;2016;2141;46
9144;2016;2142;46
9149;2016;2143;44
9151;2016;2144;44
9153;2016;2146;45
9161;2016;2147;44
9165;2016;2091;45
9182;2016;2095;45
9183;2016;2096;46
9190;2016;2080;44
9191;2016;2081;46
9205;2016;2085;44
9214;2016;2087;44
9221;2016;2088;44
9223;2016;2120;45
9235;2016;2270;45
9237;2016;2271;45
9246;2016;2273;44
9249;2016;2097;46
9254;2016;2274;44
9258;2016;2276;44
9259;2016;2341;45
9263;2016;2277;44
9267;2016;2279;44
9271;2016;2344;45
9272;2016;2281;45
9275;2016;2283;44
9300;2016;2100;45
9303;2016;2102;44
9312;2016;2104;44
9314;2016;2106;44
9317;2016;2107;46
9319;2016;2108;44
9321;2016;2349;44
9325;2016;2374;45
9328;2016;2377;44
9330;2016;2379;44
9332;2016;2380;45
9339;2016;2382;44
9340;2016;2350;46
9345;2016;2383;44
9346;2016;2351;44
9350;2016;2384;46
9367;2016;2353;45
9384;2016;2284;44
9388;2016;2285;44
9390;2016;2286;44
9392;2016;2287;44
9393;2016;2117;45
9396;2016;2288;44
9399;2016;2289;44
9405;2016;2291;44
9407;2016;2123;44
9408;2016;2292;44
9409;2016;2293;44
9410;2016;2124;45
9416;2016;2125;46
9417;2016;2295;44
9418;2016;2126;44
9419;2016;2127;44
9422;2016;2297;45
9424;2016;2298;45
9425;2016;2299;46
9429;2016;2301;44
9431;2016;2302;44
9433;2016;2303;45
9453;2016;2305;44
9468;2016;2307;45
9479;2016;2131;45
9484;2016;2132;44
9486;2016;2354;45
9488;2016;2314;44
9489;2016;2133;45
9491;2016;2315;46
9497;2016;2433;44
9500;2016;2434;44
9504;2016;2437;45
9505;2016;2438;44
9506;2016;2439;44
9507;2016;2440;44
9511;2016;2441;44
9512;2016;2442;45
9514;2016;2443;45
9515;2016;2444;44
9520;2016;2447;46
9522;2016;2448;45
9524;2016;2449;44
9530;2016;2451;44
