codTematica;tematica
1;Presentación del curso. Límites. Ejemplo. Práctica
2;Limites laterales, Indeterminados e infinitos y al infinito.  Práctica
3;Limites exponenciales. Práctica
4;Continuidad
5;Derivada de funciones Logarítmicas, Exponenciales. Aplicaciones.
6;Diferenciación implícita. Derivada de orden superior. Aplicaciones.
7;Valores máximos y mínimos de una función. Criterios de la primera y segunda derivada.
8;Evaluación Parcial
9;Concavidad. Trazado de una curva
10;Antiderivada. Integral Indefinida. Aplicaciones.
11;Integración con condiciones iniciales. Aplicaciones.
12;Métodos de integración.
13;Métodos de integración II
14;Integral definida. Propiedades.  Teorema fundamental del cálculo.
15;Cálculo de áreas.
16;Aplicaciones de las integrales a la administración y a la economía.
17;Evaluación Final
18;Ética, moral y ecología.  Paradigmas ambientales. Ciclos.
19;Biomas. Niveles de organización de la naturaleza.
20;Desarrollo sostenible y cambio climático.
